Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	ttr_lemma_chunks_100	ttr_lemma_chunks_200	ttr_form_chunks_100	ttr_form_chunks_200	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_+3	verbs_num_pers_dist_Plur+	verbs_num_pers_dist_Plur+1	verbs_num_pers_dist_Plur+2	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Fut	aux_tense_dist_Imp	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Ger	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+1	aux_num_pers_dist_Plur+2	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+2	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	prep_dist_5	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:poss	dep_dist_det:predet	dep_dist_discourse	dep_dist_dislocated	dep_dist_expl	dep_dist_expl:impers	dep_dist_expl:pass	dep_dist_fixed	dep_dist_flat	dep_dist_flat:foreign	dep_dist_flat:name	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_vocative	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4	subordinate_dist_5
test_docs/100.conllu	48	996	20.75	4.853828306264501	0.64	0.55	0.74	0.615	5.923694779116466	13.353413654618475	4.618473895582329	6.024096385542169	1.7068273092369477	15.763052208835342	0.20080321285140562	19.57831325301205	1.104417670682731	0	3.5140562248995986	4.718875502008032	13.453815261044177	1.2048192771084338	0	8.835341365461847	0	0.5046403712296984	7.352941176470588	0	72.05882352941177	20.58823529411765	4.761904761904762	0	90.47619047619048	4.761904761904762	23.863636363636363	4.545454545454546	18.181818181818183	53.40909090909091	0	0	9.523809523809524	0	23.80952380952381	4.761904761904762	0	61.904761904761905	6.666666666666667	16.666666666666668	15.0	61.666666666666664	3.8461538461538463	0	86.53846153846153	9.615384615384615	86.66666666666667	0	0	13.333333333333334	1.9230769230769231	0	40.38461538461539	3.8461538461538463	0	53.84615384615385	2.0416666666666665	79.16666666666667	2.8068181818181817	0	13.636363636363637	37.5	23.863636363636363	10.227272727272727	9.090909090909092	5.681818181818182	4.125	10.16326530612245	9.8125	2.694103194103194	31	1.1864406779661016	59	84.7457627118644	11.864406779661017	3.389830508474576	0	0	10.0	90.0	75.80645161290323	24.193548387096776	0.7028112449799196	1.5060240963855422	1.5060240963855422	4.317269076305221	5.120481927710843	0.6024096385542169	3.6144578313253013	1.3052208835341366	12.349397590361447	1.8072289156626506	0.6024096385542169	0.20080321285140562	2.610441767068273	1.104417670682731	0	15.562248995983936	0.20080321285140562	0	0.10040160642570281	0	0.9036144578313253	0.30120481927710846	0	0.20080321285140562	0.10040160642570281	0	0.9036144578313253	0.30120481927710846	2.208835341365462	7.931726907630522	4.819277108433735	1.4056224899598393	0.9036144578313253	2.710843373493976	4.518072289156627	0.5020080321285141	0.30120481927710846	13.453815261044177	4.819277108433735	0	0.5020080321285141	43.67816091954023	56.32183908045977	85.71428571428571	14.285714285714286	1.1951219512195121	82.92682926829268	14.634146341463415	2.4390243902439024	0	0
test_docs/299.conllu	10	350	35.0	4.864951768488746	0.64	0.54	0.73	0.615	4.857142857142857	12.571428571428571	3.142857142857143	4.857142857142857	2.0	18.285714285714285	0	18.0	0.5714285714285714	0	2.5714285714285716	6.571428571428571	11.142857142857142	2.2857142857142856	0	13.142857142857142	0	0.5144694533762058	0	7.142857142857143	57.142857142857146	35.714285714285715	0	0	81.81818181818181	18.181818181818183	23.91304347826087	8.695652173913043	30.434782608695652	36.95652173913044	0	0	0	0	9.090909090909092	0	0	90.9090909090909	0	33.333333333333336	6.666666666666667	60.0	0	0	85.71428571428571	14.285714285714286	82.3529411764706	0	11.764705882352942	5.882352941176471	0	0	7.142857142857143	0	0	92.85714285714286	4.8	100.0	2.5	0	17.391304347826086	32.608695652173914	34.78260869565217	13.043478260869565	2.1739130434782608	0	6.7	7.291666666666667	12.2	2.5348837209302326	19	1.3076923076923077	13	76.92307692307692	15.384615384615385	7.6923076923076925	0	0	5.0	95.0	100.0	0.0	1.7142857142857142	0.8571428571428571	2.5714285714285716	2.5714285714285716	4.0	0.5714285714285714	4.0	0.2857142857142857	9.714285714285714	2.0	2.5714285714285716	0.8571428571428571	2.2857142857142856	0.5714285714285714	0	17.428571428571427	0.2857142857142857	0.5714285714285714	0	0	0	0	0	0.5714285714285714	0.2857142857142857	0	2.857142857142857	0.2857142857142857	5.142857142857143	6.0	4.857142857142857	0.2857142857142857	0	5.428571428571429	4.857142857142857	0	0	11.142857142857142	2.857142857142857	0	2.5714285714285716	22.727272727272727	77.27272727272727	88.23529411764706	11.764705882352942	1.5217391304347827	65.21739130434783	21.73913043478261	8.695652173913043	4.3478260869565215	0
test_docs/43.conllu	12	417	34.75	4.875989445910291	0.62	0.565	0.71	0.625	7.913669064748201	15.347721822541967	5.995203836930456	5.0359712230215825	3.597122302158273	13.66906474820144	0	20.14388489208633	1.6786570743405276	0	3.357314148681055	2.8776978417266186	9.112709832134293	1.1990407673860912	0	9.59232613908873	0.47961630695443647	0.5118733509234829	0	4.3478260869565215	52.17391304347826	43.47826086956522	0	9.090909090909092	81.81818181818181	9.090909090909092	27.5	5.0	37.5	30.0	0	0	0	0	18.181818181818183	0	9.090909090909092	72.72727272727273	0	0	11.764705882352942	88.23529411764706	6.666666666666667	0	93.33333333333333	0	71.42857142857143	0	19.047619047619047	9.523809523809524	20.0	0	13.333333333333334	0	0	66.66666666666667	3.8333333333333335	91.66666666666667	2.625	0	20.0	30.0	27.5	15.0	5.0	2.5	6.0	9.065217391304348	15.0	2.877384196185286	31	1.1363636363636365	22	86.36363636363636	13.636363636363637	0	0	0	14.285714285714286	85.71428571428571	90.0	10.0	2.158273381294964	1.9184652278177459	1.6786570743405276	5.5155875299760195	6.954436450839329	0.23980815347721823	2.8776978417266186	0.7194244604316546	13.189448441247002	3.597122302158273	0.23980815347721823	0	3.117505995203837	1.4388489208633093	0	13.42925659472422	0.23980815347721823	0	0	0	0.7194244604316546	0	0	0.47961630695443647	0	0.23980815347721823	0.47961630695443647	0.23980815347721823	3.357314148681055	6.235011990407674	4.316546762589928	0.47961630695443647	1.6786570743405276	4.796163069544365	5.755395683453237	0.47961630695443647	0.47961630695443647	9.112709832134293	2.8776978417266186	0	0.9592326139088729	28.94736842105263	71.05263157894737	88.88888888888889	11.11111111111111	1.173913043478261	86.95652173913044	8.695652173913043	4.3478260869565215	0	0
test_docs/32.conllu	31	922	29.741935483870968	4.713075060532687	0.7	0.575	0.76	0.645	6.724511930585683	18.329718004338396	3.2537960954446854	4.55531453362256	2.4945770065075923	13.557483731019524	0	19.197396963123644	0.21691973969631237	0	3.2537960954446854	11.279826464208243	10.412147505422993	0.10845986984815618	0	6.616052060737527	0	0.5254237288135594	1.7543859649122806	0	73.6842105263158	24.56140350877193	0	0	100.0	0	24.59016393442623	1.639344262295082	4.918032786885246	68.85245901639344	0	0	6.666666666666667	0	33.333333333333336	0	0	60.0	0	7.5	12.5	80.0	2.857142857142857	0	94.28571428571429	2.857142857142857	83.33333333333333	0	4.761904761904762	11.904761904761905	0	0	34.285714285714285	0	0	65.71428571428571	2.129032258064516	90.3225806451613	2.5737704918032787	0	23.333333333333332	23.333333333333332	26.666666666666668	21.666666666666668	5.0	0	5.548387096774194	13.969696969696969	12.096774193548388	2.647798742138365	60	1.565217391304348	69	56.52173913043478	34.78260869565217	5.797101449275362	1.4492753623188406	1.4492753623188406	13.636363636363637	86.36363636363636	84.61538461538461	15.384615384615385	1.4099783080260304	1.5184381778741864	0.5422993492407809	2.819956616052061	6.399132321041215	0.43383947939262474	3.036876355748373	0.7592190889370932	18.004338394793926	2.4945770065075923	0	0	2.27765726681128	0.7592190889370932	0	13.449023861171366	0	0.10845986984815618	0	0	0.5422993492407809	0.10845986984815618	0	0.43383947939262474	0	0	4.1214750542299345	0.32537960954446854	0.5422993492407809	13.34056399132321	3.3622559652928414	0.8676789587852495	0.21691973969631237	2.0607375271149673	5.531453362255966	0.43383947939262474	0	10.412147505422993	3.3622559652928414	0	0.32537960954446854	45.90163934426229	54.09836065573771	84.84848484848484	15.151515151515152	1.064516129032258	93.54838709677419	6.451612903225806	0	0	0
test_docs/200.conllu	10	295	29.5	5.319838056680162	0.61	0.565	0.74	0.71	7.796610169491525	12.203389830508474	4.745762711864407	6.101694915254237	3.0508474576271185	14.23728813559322	0	17.627118644067796	0.6779661016949152	0	3.389830508474576	4.067796610169491	16.271186440677965	1.0169491525423728	0	8.813559322033898	0	0.5141700404858299	4.761904761904762	0	52.38095238095238	42.857142857142854	0	0	100.0	0	38.46153846153846	3.8461538461538463	15.384615384615385	42.30769230769231	0	0	0	0	30.0	0	0	70.0	13.333333333333334	20.0	13.333333333333334	53.333333333333336	0	0	100.0	0	72.22222222222223	0	16.666666666666668	11.11111111111111	0	0	30.76923076923077	0	0	69.23076923076923	3.0	100.0	2.730769230769231	3.8461538461538463	15.384615384615385	30.76923076923077	23.076923076923077	15.384615384615385	3.8461538461538463	7.6923076923076925	5.2	9.833333333333334	14.5	3.3375527426160336	46	1.1666666666666667	12	83.33333333333333	16.666666666666668	0	0	0	16.666666666666668	83.33333333333333	78.94736842105263	21.05263157894737	1.0169491525423728	2.3728813559322033	0.6779661016949152	4.745762711864407	6.440677966101695	0.6779661016949152	2.3728813559322033	2.3728813559322033	11.186440677966102	3.0508474576271185	1.3559322033898304	0	3.0508474576271185	1.3559322033898304	0	14.23728813559322	0	0	0	0	0.3389830508474576	0.3389830508474576	0	0	0	0	0.6779661016949152	0	2.0338983050847457	6.101694915254237	4.745762711864407	1.694915254237288	0.3389830508474576	2.0338983050847457	6.101694915254237	0.3389830508474576	0.6779661016949152	16.271186440677965	3.389830508474576	0	0	38.46153846153846	61.53846153846154	75.0	25.0	1.1428571428571428	85.71428571428571	14.285714285714286	0	0	0
test_docs/335.conllu	29	1670	57.58620689655172	4.784435261707989	0.65	0.575	0.71	0.625	6.047904191616767	18.323353293413174	1.1976047904191616	2.6347305389221556	3.592814371257485	14.191616766467066	0	21.137724550898202	2.694610778443114	0	2.3353293413173652	9.640718562874252	13.053892215568862	0.11976047904191617	0.059880239520958084	4.970059880239521	0	0.49449035812672176	0	0	79.41176470588235	20.58823529411765	0	0	100.0	0	15.662650602409638	3.6144578313253013	14.457831325301205	66.26506024096386	0	0	0	0	15.384615384615385	0	0	84.61538461538461	0	0	6.976744186046512	93.02325581395348	0	0	95.0	5.0	90.9090909090909	2.272727272727273	0	6.818181818181818	0	0	20.0	0	0	80.0	3.103448275862069	68.96551724137932	2.4216867469879517	0	29.62962962962963	24.691358024691358	17.28395061728395	24.691358024691358	3.7037037037037037	0	8.413793103448276	18.555555555555557	28.06896551724138	3.4476458186929024	78	1.4274809160305344	131	68.70229007633588	24.427480916030536	4.580152671755725	0	2.2900763358778624	12.5	87.5	90.0	10.0	1.3173652694610778	1.1976047904191616	0.5988023952095808	1.1377245508982037	5.62874251497006	1.377245508982036	1.9161676646706587	0.23952095808383234	17.904191616766468	3.592814371257485	0.11976047904191617	0.2994011976047904	4.37125748502994	0.47904191616766467	0.059880239520958084	12.694610778443113	1.377245508982036	0.11976047904191617	0	0	0.41916167664670656	0	0	0.11976047904191617	0.2994011976047904	0	3.532934131736527	0.11976047904191617	0.5389221556886228	13.77245508982036	1.437125748502994	0.2994011976047904	2.2754491017964074	1.7964071856287425	5.449101796407185	0.41916167664670656	0	13.053892215568862	1.7365269461077844	0	0.2994011976047904	25.31645569620253	74.68354430379746	98.30508474576271	1.694915254237288	1.24	84.0	12.0	0	4.0	0
test_docs/440.conllu	15	347	23.133333333333333	4.742765273311897	0.69	0.58	0.77	0.66	7.204610951008646	15.85014409221902	2.5936599423631126	2.881844380403458	2.5936599423631126	19.30835734870317	0	24.207492795389047	2.5936599423631126	0	2.3054755043227666	2.5936599423631126	10.37463976945245	0.5763688760806917	0	6.916426512968299	0	0.4855305466237942	0	15.0	55.0	30.0	0	0	88.88888888888889	11.11111111111111	37.5	0	16.666666666666668	45.833333333333336	0	0	0	0	44.44444444444444	0	0	55.55555555555556	11.11111111111111	11.11111111111111	0	77.77777777777777	22.22222222222222	0	77.77777777777777	0	90.0	0	10.0	0	0	0	44.44444444444444	0	0	55.55555555555556	1.6666666666666667	66.66666666666667	2.8333333333333335	0	17.391304347826086	21.73913043478261	30.434782608695652	17.391304347826086	4.3478260869565215	8.695652173913043	4.4	13.88	10.4	2.668918918918919	22	1.1818181818181819	22	81.81818181818181	18.181818181818183	0	0	0	0.0	100.0	87.5	12.5	0.8645533141210374	1.440922190201729	0.8645533141210374	1.7291066282420748	6.628242074927954	0.2881844380403458	1.7291066282420748	0.8645533141210374	14.697406340057636	2.5936599423631126	0	0.8645533141210374	4.322766570605188	0.2881844380403458	0	19.020172910662826	0.2881844380403458	0	0	0	0.2881844380403458	0	0	0.2881844380403458	0	0	0.5763688760806917	0	1.7291066282420748	8.357348703170029	3.7463976945244957	0.8645533141210374	2.0172910662824206	3.4582132564841497	6.916426512968299	0.2881844380403458	0	10.37463976945245	4.322766570605188	0	0.2881844380403458	45.45454545454545	54.54545454545455	91.66666666666667	8.333333333333334	1.2	80.0	20.0	0	0	0
test_docs/943.conllu	5	169	33.8	5.286624203821656	0.61	0	0.72	0	10.650887573964496	17.75147928994083	1.183431952662722	4.733727810650888	2.366863905325444	16.568047337278106	0	23.668639053254438	0	0	4.1420118343195265	2.9585798816568047	7.100591715976331	0.591715976331361	0	8.284023668639053	0	0.5031847133757962	11.11111111111111	0	55.55555555555556	33.333333333333336	0	0	100.0	0	28.571428571428573	7.142857142857143	28.571428571428573	35.714285714285715	0	0	0	0	25.0	0	0	75.0	0	0	12.5	87.5	14.285714285714286	0	85.71428571428571	0	87.5	0	0	12.5	0	0	14.285714285714286	0	0	85.71428571428571	3.2	80.0	2.642857142857143	7.142857142857143	14.285714285714286	21.428571428571427	28.571428571428573	21.428571428571427	7.142857142857143	0	8.2	10.5625	12.0	2.361842105263158	33	1.2142857142857142	14	78.57142857142857	21.428571428571427	0	0	0	10.0	90.0	90.0	10.0	0.591715976331361	3.5502958579881656	1.7751479289940828	1.183431952662722	9.467455621301776	0	2.366863905325444	1.183431952662722	15.976331360946746	2.366863905325444	0	0	2.9585798816568047	1.183431952662722	0	16.568047337278106	0	0	0	0	0	0	0	0	0	0	0.591715976331361	0	2.366863905325444	10.059171597633137	4.733727810650888	1.183431952662722	0	5.9171597633136095	4.733727810650888	0	0	7.100591715976331	2.9585798816568047	0	1.183431952662722	26.666666666666668	73.33333333333333	72.72727272727273	27.272727272727273	1.1	90.0	10.0	0	0	0
test_docs/112.conllu	77	1389	18.038961038961038	4.873428331936295	0.71	0.595	0.76	0.68	7.34341252699784	12.670986321094313	6.047516198704104	2.735781137508999	3.3837293016558676	12.814974802015838	0	16.27069834413247	1.2958963282937366	0	6.047516198704104	5.6875449964002875	14.110871130309576	1.1519078473722102	0	10.151187904967603	0.28797696184305255	0.5297569153394803	2.803738317757009	38.3177570093458	50.467289719626166	8.411214953271028	0	2.5641025641025643	93.58974358974359	3.8461538461538463	55.319148936170215	0.7092198581560284	23.404255319148938	20.56737588652482	0	0	0	0	17.94871794871795	1.2820512820512822	3.8461538461538463	76.92307692307692	0	66.66666666666667	16.666666666666668	16.666666666666668	0	0	96.875	3.125	84.21052631578948	0	5.2631578947368425	10.526315789473685	0	0	21.875	0	0	78.125	2.0	74.02597402597402	2.6879432624113475	0	15.0	32.142857142857146	29.285714285714285	16.428571428571427	5.0	2.142857142857143	3.7532467532467533	9.019480519480519	8.454545454545455	2.697132616487455	33	1.0204081632653061	49	97.95918367346938	2.0408163265306123	0	0	0	26.865671641791046	73.13432835820896	90.56603773584905	9.433962264150944	0.7919366450683946	1.2958963282937366	1.3678905687544995	5.903527717782578	5.399568034557236	0.2159827213822894	1.2958963282937366	0.28797696184305255	11.01511879049676	3.3837293016558676	0.2159827213822894	0.07199424046076314	6.479481641468682	1.1519078473722102	0	11.879049676025918	0.9359251259899208	0	0	0	1.007919366450684	0	0.07199424046076314	0.28797696184305255	0.28797696184305255	0.2159827213822894	2.159827213822894	0.3599712023038157	2.663786897048236	4.82361411087113	3.4557235421166306	0.3599712023038157	0.6479481641468683	4.463642908567315	6.263498920086393	0.28797696184305255	0	14.110871130309576	5.543556515478762	0	1.2958963282937366	48.30508474576271	51.69491525423729	85.24590163934427	14.754098360655737	1.0892857142857142	91.07142857142857	8.928571428571429	0	0	0
test_docs/154.conllu	9	292	32.44444444444444	4.65	0.63	0.535	0.73	0.63	4.4520547945205475	13.356164383561644	7.534246575342466	3.4246575342465753	1.7123287671232876	15.753424657534246	0	17.465753424657535	0.3424657534246575	0	4.794520547945205	3.4246575342465753	17.80821917808219	1.36986301369863	0	8.561643835616438	0	0.5041666666666667	14.285714285714286	7.142857142857143	28.571428571428573	50.0	0	0	100.0	0	40.0	4.0	40.0	16.0	0	0	10.0	0	10.0	0	0	80.0	0	10.0	0	90.0	0	0	90.0	10.0	100.0	0	0	0	0	0	10.0	0	0	90.0	3.3333333333333335	88.88888888888889	2.76	0	4.0	40.0	36.0	16.0	4.0	0	5.555555555555555	9.733333333333333	17.11111111111111	3.207792207792208	33	1.105263157894737	19	89.47368421052632	10.526315789473685	0	0	0	21.428571428571427	78.57142857142857	93.33333333333333	6.666666666666667	1.0273972602739727	2.3972602739726026	1.0273972602739727	6.8493150684931505	3.0821917808219177	0	1.36986301369863	0	11.643835616438356	1.7123287671232876	1.7123287671232876	0.3424657534246575	1.7123287671232876	2.0547945205479454	0	15.41095890410959	0.3424657534246575	0	0	0	0.3424657534246575	0	0	1.0273972602739727	0	0	0	0	2.73972602739726	8.561643835616438	5.136986301369863	0	0.3424657534246575	4.794520547945205	4.109589041095891	0.3424657534246575	0.3424657534246575	17.80821917808219	3.0821917808219177	0	0.684931506849315	28.571428571428573	71.42857142857143	90.0	10.0	1.3333333333333333	66.66666666666667	33.333333333333336	0	0	0
